Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS
Date,,,,,,
2019-01-01 00:00:00+00:00,172.37913513183594,173.4499969482422,174.1999969482422,171.3000030517578,173.5,6715543
2019-01-02 00:00:00+00:00,167.50938415527344,168.5500030517578,171.75,168.0,170.60000610351562,13410104
2019-01-03 00:00:00+00:00,165.0248260498047,166.0500030517578,170.14999389648438,165.10000610351562,169.0,9321842
2019-01-04 00:00:00+00:00,169.8945770263672,170.9499969482422,171.9499969482422,168.5,169.0,17650435
2019-01-07 00:00:00+00:00,174.2674102783203,175.35000610351562,178.1999969482422,173.1999969482422,173.1999969482422,21438351
2019-01-08 00:00:00+00:00,178.83900451660156,179.9499969482422,180.5,176.10000610351562,176.10000610351562,20128985
2019-01-09 00:00:00+00:00,181.9198760986328,183.0500030517578,183.60000610351562,180.1999969482422,181.5,17468948
2019-01-10 00:00:00+00:00,184.60321044921875,185.75,186.85000610351562,183.5500030517578,183.64999389648438,16961888
2019-01-11 00:00:00+00:00,179.1868438720703,180.3000030517578,187.75,179.39999389648438,186.5500030517578,25902974
2019-01-14 00:00:00+00:00,181.2738800048828,182.39999389648438,198.3000030517578,177.4499969482422,180.3000030517578,18935120
2019-01-15 00:00:00+00:00,184.20567321777344,185.35000610351562,185.8000030517578,181.25,183.3000030517578,13536578
2019-01-16 00:00:00+00:00,184.3050537109375,185.4499969482422,187.35000610351562,184.0500030517578,186.0,11874245
2019-01-17 00:00:00+00:00,183.75843811035156,184.89999389648438,187.3000030517578,183.39999389648438,186.0,9365756
2019-01-18 00:00:00+00:00,182.1683349609375,183.3000030517578,185.64999389648438,181.3000030517578,185.64999389648438,6797621
2019-01-21 00:00:00+00:00,180.37942504882812,181.5,184.9499969482422,180.64999389648438,184.3000030517578,6918258
2019-01-22 00:00:00+00:00,179.73345947265625,180.85000610351562,181.5,175.9499969482422,181.5,9775717
2019-01-23 00:00:00+00:00,179.1371612548828,180.25,182.6999969482422,178.5500030517578,181.6999969482422,9778926
2019-01-24 00:00:00+00:00,174.3170928955078,175.39999389648438,180.3000030517578,173.6999969482422,180.0,13461254
2019-01-25 00:00:00+00:00,172.1803741455078,173.25,178.89999389648438,171.9499969482422,175.9499969482422,12136892
2019-01-28 00:00:00+00:00,171.23623657226562,172.3000030517578,175.35000610351562,169.39999389648438,173.3000030517578,8167430
2019-01-29 00:00:00+00:00,172.52821350097656,173.60000610351562,174.89999389648438,170.89999389648438,172.35000610351562,6141180
2019-01-30 00:00:00+00:00,173.5220489501953,174.60000610351562,176.75,173.3000030517578,174.3000030517578,7757847
2019-01-31 00:00:00+00:00,180.08128356933594,181.1999969482422,183.89999389648438,175.8000030517578,175.8000030517578,22277646
2019-02-01 00:00:00+00:00,180.52850341796875,181.64999389648438,185.89999389648438,179.5500030517578,182.0,14931422
